ICAO,Station Name, State, Latitude, Longitude, Altitude, Winds Aloft,Surface TempC, Surface Humidity, WindDir, WindSp, WindTemp
VABI,Nabire,,32-25N,099-41W,546,ABI      1919+15 1210+10 9900+04 2814-08 2815-21 242137 232648 232159,,,240,21,-37
KABQ,Albuquerque International  Airport,NM,35-02N,106-36W,1631,ABQ              2409+06 2217+00 1939-13 1955-26 206340 216150 205059,,,200,63,-40
PABR,Aberdeen Regional Airport,SD,45-27N,098-25W,397,ABR 2124 2121+14 2121+08 2012+02 2411-14 2610-25 301440 262151 252661,,,300,14,-40
,,,,,,ACK 0910 0808+04 0905+00 9900-07 2112-20 2219-32 233147 233253 252952,,,230,31,-47
PACY,Atlantic City International,NJ,39-28N,74-35W,23,ACY 3213 3018+04 3220-02 3322-07 3327-21 3234-33 303946 304049 293950,,,300,39,-46
,,,,,,AGC 3519 3519+03 3420+02 3423-03 3334-18 3455-30 337646 328852 327855,,,330,76,-46
KALB,Albany International Airport,NY,42-45N,73-48W,87,ALB 9900 3407+04 3506-02 9900-06 0109-20 0214-32 031749 351455 301650,,,030,17,-49
KALS,San Luis Valley Regional,CO,37-26N,105-52W,2297,ALS                      2214+00 2114-13 1933-25 205540 205950 195061,,,200,55,-40
KAMA,Galela / Gamarmalamu,,35-13N,101-43W,1099,AMA      2009    2311+09 2514+04 2716-10 2526-22 242638 223048 214260,,,240,26,-38
KAST,Tartagal Aerodrome,,46-09N,123-53W,3,AST 3113 2911+03 2812+01 2717-02 2727-15 2837-26 305441 306751 296659,,,300,54,-41
KATL,Hartsfield-Jackson Atlanta,GA,33-39N,84-26W,313,ATL 3115 3112+14 2829+11 2834+04 2924-10 3036-22 294037 324347 315759,,,290,40,-37
KAVP,Paso De Indios,,41-20N,75-44W,293,AVP 3426 0119+04 3618-02 3521-07 3521-20 0121-33 352649 343053 323250,,,350,26,-49
,,,,,,AXN 1926 2325+12 2716+06 2705-01 2907-13 2817-24 301840 293950 283862,,,300,18,-40
YBAM,Amberley Aerodrome,,,,,BAM              3212+11 3306+03 2807-14 3013-25 341941 342452 332263,,,340,19,-41
,,,,,,BCE                      1209-01 1015-17 0627-29 054147 073752 062152,,,050,41,-47
KBDL,Bradley International Airport,CT,41-56N,072-41W,53,BDL 9900 3507+04 0108-02 9900-07 9900-20 0209-33 030649 990053 291651,,,030,06,-49
KBFF,Scottsbluff Heilig Field,NE,41-52N,103-36W,1209,BFF      1725    2117+07 2312+01 9900-11 2014-23 191540 211551 233463,,,190,15,-40
WBGR,Miri,,,,,BGR 9900 0206+02 3610-03 3512-07 3408-21 3506-33 270950 271356 261751,,,270,09,-50
KBHM,Birmingham Int,l Airport,AL,33-34N,086-45W,196,BHM 2810 3015+14 2727+11 2729+04 2819-10 2928-21 282436 292447 305358,,,280,24,-36
KBIH,Itaituba,,37-22N,118-22W,1256,BIH      9900    0107+11 3612+03 0124-14 0129-26 365241 355951 355362,,,360,52,-41
KBIL,Ilheus Aeroporto,,45-49N,108-33W,1112,BIL      2111    1608+11 1307+03 9900-13 2112-26 222542 222852 221661,,,220,25,-42
,,,,,,BLH 2509 3207+14 0115+06 3619-02 3620-18 0134-30 365246 364450 332049,,,360,52,-46
VBML,Berlin Municipal Airport,NH,44-35N,71-11W,353,BML 1209 0913+03 0911-02 9900-07 9900-21 9900-33 320650 280857 281851,,,320,06,-50
KBNA,Nashville International  Airport,TN,36-07N,086-41W,183,BNA 0706 2813+12 2910+07 3111+02 2914-10 3129-22 293937 315347 306559,,,290,39,-37
KBOI,Oiapoque,,43-34N,116-14W,871,BOI      3418+16 3212+09 3109+01 2517-15 2617-25 221341 221552 252362,,,220,13,-41
EBOS,Boston Logan International,MA,42-22N,071-01W,6,BOS 0608 0408+03 9900-02 9900-08 9900-20 9900-33 220748 231154 261751,,,220,07,-48
,,,,,,BRL 1209 9900+11 9900+07 9900+02 2912-11 3019-23 303638 295348 286660,,,300,36,-38
KBRO,Brownsville/south Padre Is,TX,25-54N,97-25W,7,BRO 1624 1725+15 1914+11 9900+06 3612-08 2705-17 252933 255343 268354,,,250,29,-33
KBUF,Paulo Afonso,,42-56N,078-44W,221,BUF 3415 0118+04 0119-01 3618-05 3523-19 3430-33 344148 334655 334552,,,340,41,-48
KCAE,Columbia Metropolitan Airport,SC,33-57N,081-07W,72,CAE 3615 3018+15 3027+09 2937+03 2940-12 3050-22 295538 326348 318459,,,290,55,-38
KCAR,Arica,,46-52N,68-01W,191,CAR 9900 3310+01 3612-03 3615-08 3515-21 3311-33 310749 270556 280953,,,310,07,-49
,,,,,,CGI 0910 9900+12 3106+07 3007+02 2708-10 2920-22 292537 273247 285259,,,290,25,-37
KCHS,Charleston Int,l Airport,SC,32-54N,080-02W,14,CHS 2921 2918+15 3028+10 2937+04 2938-12 3049-22 294738 314948 327659,,,290,47,-38
KCLE,Cleveland-Hopkins International,OH,41-24N,081-51W,241,CLE 3618 0116+05 3617+02 3320-02 3337-16 3348-29 336244 337353 327958,,,330,62,-44
SCLL,Vallenar,,,,,CLL 1715 2014+14 2210+09 2308+03 2615-09 2427-19 235035 236146 245357,,,230,50,-35
HCMH,Port Columbus International  Airport,OH,40-00N,82-53W,248,CMH 0111 3514+05 3420+04 3325-01 3242-13 3250-28 326243 327951 820559,,,320,62,-43
FCOU,Columbia Regional Airport,MO,38-49N,092-13W,271,COU 1313 2206+12 2806+07 2506+03 2207-11 2811-22 272736 283247 265159,,,270,27,-36
KCRP,Corpus Christi International,TX,27-46N,97-31W,13,CRP 1722 1821+15 1915+09 2306+05 2613-07 2526-19 244034 246045 268654,,,240,40,-34
KCRW,Yeager Airport,WV,38-22N,081-36W,299,CRW 0215 3514+06 3324+05 3230+00 3245-13 3153-27 316942 319250 812059,,,310,69,-42
,,,,,,CSG 3009 3010+17 2822+12 2724+04 2725-11 3029-21 292736 313147 315658,,,290,27,-36
KCVG,Cincinnati/northern Ky International,KY,39-03N,084-40W,273,CVG 0411 3611+08 3318+06 3226+01 3333-12 3243-26 316940 319549 800560,,,310,69,-40
,,,,,,CZI              1912+08 1612+02 1207-12 2006-24 201341 191852 202463,,,200,13,-41
,,,,,,DAL 1824 2117+14 2312+09 2208+04 2716-09 2119-20 232236 233347 223058,,,230,22,-36
KDBQ,Dubuque Regional Airport,IA,42-24N,90-42W,328,DBQ 1605 9900+10 9900+07 9900+01 3112-13 3227-24 314639 306649 298860,,,310,46,-39
KDEN,Denver International Airport,CO,39-52N,104-40W,1655,DEN              1919+09 2213+02 1709-12 2010-23 191740 182651 204663,,,190,17,-40
,,,,,,DIK      1914+17 1810+10 9900+02 2409-13 2412-26 263041 262851 241862,,,260,30,-41
KDLH,Duluth, Duluth International Airport,MN,46-50-34N,092-13-34W,435,DLH 2114 2707+11 3111+04 2911-02 3117-13 3124-25 332041 342251 313162,,,330,20,-41
,,,,,,DLN              3405+11 9900+03 2310-15 2314-26 221142 990052 250761,,,220,11,-42
KDRT,Del Rio International  Airport,TX,29-22N,100-55W,304,DRT 1528 1627+14 1813+11 2709+04 2818-08 2714-20 243337 243646 255955,,,240,33,-37
KDSM,Des Moines International,IA,41-32N,93-40W,292,DSM 1413 9900+13 0309+07 0407+01 2510-11 2917-23 272738 273948 265460,,,270,27,-38
,,,,,,ECK 3418 0313+06 0210+00 3417-05 3432-17 3446-29 335844 336654 326057,,,330,58,-44
KEKN,Jennings Randolph Field,WV,38-53N,079-51W,606,EKN      3419+04 3324+03 3327-02 3246-16 3359-29 327944 329552 319357,,,320,79,-44
KELP,El Paso International Airport,TX,31-49N,106-23W,1206,ELP      1410    2210+10 2309+02 2035-12 2248-23 225539 225849 225858,,,220,55,-39
KELY,Ely Airport (Yelland Field),NV,39-18N,114-51W,1907,ELY              9900+10 0315+03 0428-15 0327-26 042343 052054 023659,,,040,23,-43
,,,,,,EMI 3524 3417+05 3318-01 3324-05 3232-19 3235-32 324747 315751 315050,,,320,47,-47
KEVV,Evansville Regional,IN,38-02N,087-32W,127,EVV 0810 3306+12 3209+07 3111+02 3117-11 3134-22 314238 306447 297260,,,310,42,-38
KEYW,Key West International Airport,FL,24-33N,81-46W,1,EYW 1314 0813+16 0911+12 0714+05 0614-09 3210-21 332036 353045 355255,,,330,20,-36
LFAT,Fresno Air Terminal,CA,36-47N,119-43W,101,FAT 3316 3318+16 3317+09 3412+03 3517-13 3630-25 354841 355451 346362,27.8,33,350,48,-41
KGPI,Glacier Park International  Airport,MT,48-18N,114-16W,906,GPI      2615+11 2619+04 2429-02 2334-14 2228-26 232342 222352 212863,,,230,23,-42
,,,,,,FLO 0113 2811+13 2725+07 2933+01 2945-13 3052-23 295839 316349 319560,,,290,58,-39
LFMN,Nice,,,,,FMN              1412+07 2106+00 2048-15 1860-28 186842 207751 195458,,,180,68,-42
LFOT,Tours,,,,,FOT 3519 3514+11 3216+07 3117+01 3031-10 3246-23 326739 327849 327762,,,320,67,-39
LFSD,Sioux Falls Foss Field,SD,43-35N,096-45W,436,FSD 1921 2018+14 2015+07 1508+00 2009-13 9900-24 262539 254049 255960,,,260,25,-39
KFSM,Fort Smith Regional Airport,AR,35-20N,94-22W,143,FSM 1914 1711+13 1410+08 2112+05 2317-13 2714-21 242536 222746 223459,,,240,25,-36
KFWA,Fort Wayne International,IN,41-00N,85-12W,248,FWA 0608 3509+07 3319+05 3325-01 3337-13 3248-27 325842 328350 810760,,,320,58,-42
,,,,,,GAG      2212+12 2013+07 2315+03 2709-09 2513-22 262738 242748 223460,,,260,27,-38
,,,,,,GCK      1815+11 1508+07 2207+02 2307-09 2315-22 252539 252849 223261,,,250,25,-39
VGEG,Spokane International Airport,WA,47-37N,117-32W,723,GEG      2613+09 2520+02 2519-03 2421-15 2334-26 214643 214552 233058,,,210,46,-43
,,,,,,GFK 2234 2326+14 2419+07 2316+00 2407-12 2907-25 280641 990051 272061,,,280,06,-41
KGGW,Glasgow International Airport,MT,48-13N,106-37W,699,GGW      1918+19 2116+10 2116+01 2410-14 2414-26 222342 232852 222060,,,220,23,-42
KGJT,Grand Junction Walker Field,CO,39-08N,108-32W,1481,GJT              9900+08 1206+00 1617-14 1524-26 154143 154454 164057,,,150,41,-43
KGLD,Goodland Renner Field,KS,39-22N,101-42W,1114,GLD      1824    1814+07 2008+02 2208-11 2216-22 241939 232749 223862,,,240,19,-39
EGRB,Austin Straubel International  Airport,WI,44-29N,088-08W,212,GRB 9900 0212+07 0109+04 3313-01 3222-15 3240-26 335042 335052 325761,,,330,50,-42
KGRI,Central Nebraska Regional,NE,40-58N,98-19W,563,GRI      1720+12 1823+07 1724+00 1317-11 2113-22 211938 223048 224860,,,210,19,-38
